station_id,station_name,commune,latitude,longitude,candidate_scope,n_series,n_series_with_valid_data,n_registros,n_registros_manifest,fecha_inicio,fecha_fin,porcentaje_cobertura_aprox,variables_disponibles,has_pm25,pm25_registros,pm25_fecha_inicio,pm25_fecha_fin,pm25_cobertura_aprox,sin_datos,baja_cobertura,datos_recientes_2026,data_issues,selected_for_pm25_analysis,selection_reason,pm25_recent_relative,pm25_qc_rows_removed,selected_for_pm25_core
235,Punteras,Chiguayante,-36.923329602986,-73.036132300941,commune_match,11,10,455183,463656,2021-01-01 01:00:00,2026-04-16 17:00:00,98.17,NO|NO2|NOX|PM10|PM25|SO2|rain|relative_humidity|temperature|wind_speed,True,45791,2021-01-01 01:00:00,2026-04-16 16:00:00,98.76,False,False,True,,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,0,True
261,Kingston College,Concepción,-36.784653741124,-73.052063025795,commune_match,19,12,535722,556416,2021-01-01 01:00:00,2026-04-16 16:00:00,96.28,CO|NO|NO2|NOX|O3|PM10|PM25|SO2|global_radiation|relative_humidity|temperature|wind_speed,True,45394,2021-01-01 01:00:00,2026-04-16 16:00:00,97.9,False,False,True,,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,0,True
105,ENAP Price,Hualpén,-36.791231,-73.119152,commune_match,7,7,315216,324576,2021-01-01 01:00:00,2026-04-16 17:00:00,97.12,CO|NO2|O3|PM10|PM25|SO2|TRSG,True,45433,2021-01-01 01:00:00,2026-04-16 17:00:00,97.98,False,False,True,,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,0,True
43,JUNJI,Hualpén,-36.780632,-73.115657,commune_match,7,7,308240,324576,2021-01-01 01:00:00,2026-04-16 17:00:00,94.97,CO|NO2|O3|PM10|PM25|SO2|TRSG,True,44346,2021-01-01 01:00:00,2026-04-16 17:00:00,95.64,False,False,True,pm25_qc_extreme_spikes_removed=4,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,4,True
241,Consultorio - San Vicente,Talcahuano,-36.723695141848,-73.123658865174,commune_match,12,11,501962,510024,2021-01-01 01:00:00,2026-04-16 17:00:00,98.42,NO|NO2|NOX|PM10|PM25|SO2|global_radiation|rain|relative_humidity|temperature|wind_speed,True,45212,2021-01-01 01:00:00,2026-04-16 16:00:00,97.51,False,False,True,pm25_qc_extreme_spikes_removed=2,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,2,True
104,Indura,Talcahuano,-36.769803,-73.113708,commune_match,6,6,270579,278208,2021-01-01 01:00:00,2026-04-16 17:00:00,97.26,CO|NO2|O3|PM10|PM25|SO2,True,45336,2021-01-01 01:00:00,2026-04-16 17:00:00,97.77,False,False,True,pm25_qc_extreme_spikes_removed=1,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,1,True
209,Inpesca,Talcahuano,-36.737202,-73.104427,commune_match,3,3,136706,139104,2021-01-01 01:00:00,2026-04-16 17:00:00,98.28,PM10|PM25|SO2,True,45601,2021-01-01 01:00:00,2026-04-16 17:00:00,98.35,False,False,True,pm25_qc_extreme_spikes_removed=5,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,5,True
240,Nueva Libertad,Talcahuano,-36.735998,-73.118693,commune_match,12,9,167570,417312,2021-01-01 01:00:00,2026-04-16 18:00:00,40.15,CO|NO|NO2|NOX|O3|PM10|PM25|SO2|wind_speed,True,45616,2021-01-01 01:00:00,2026-04-16 18:00:00,98.38,False,True,True,pm25_qc_extreme_spikes_removed=7,True,candidate_station; pm25_available; good_pm25_coverage; recent_pm25_continuity,True,7,True
